fecha,num_casos
2020-02-06,2
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,2
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,3
2020-02-23,1
2020-02-24,3
2020-02-25,2
2020-02-26,2
2020-02-27,0
2020-02-28,3
2020-02-29,8
2020-03-01,8
2020-03-02,15
2020-03-03,7
2020-03-04,14
2020-03-05,13
2020-03-06,15
2020-03-07,22
2020-03-08,38
2020-03-09,38
2020-03-10,58
2020-03-11,66
2020-03-12,82
2020-03-13,120
2020-03-14,107
2020-03-15,127
2020-03-16,165
2020-03-17,160
2020-03-18,169
2020-03-19,169
2020-03-20,242
2020-03-21,178
2020-03-22,169
2020-03-23,269
2020-03-24,194
2020-03-25,188
2020-03-26,169
2020-03-27,213
2020-03-28,149
2020-03-29,136
2020-03-30,134
2020-03-31,116
2020-04-01,159
2020-04-02,130
2020-04-03,109
2020-04-04,95
2020-04-05,96
2020-04-06,125
2020-04-07,109
2020-04-08,109
2020-04-09,99
2020-04-10,98
2020-04-11,67
2020-04-12,56
2020-04-13,83
2020-04-14,59
2020-04-15,82
2020-04-16,72
2020-04-17,58
2020-04-18,57
2020-04-19,36
2020-04-20,33
2020-04-21,47
2020-04-22,59
2020-04-23,21
2020-04-24,26
2020-04-25,19
2020-04-26,17
2020-04-27,31
2020-04-28,37
2020-04-29,28
2020-04-30,34
2020-05-01,16
2020-05-02,23
2020-05-03,19
2020-05-04,44
2020-05-05,9
2020-05-06,12
2020-05-07,37
2020-05-08,19
2020-05-09,6
2020-05-10,9
2020-05-11,6
2020-05-12,17
2020-05-13,20
2020-05-14,23
2020-05-15,16
2020-05-16,9
2020-05-17,8
2020-05-18,19
2020-05-19,23
2020-05-20,15
2020-05-21,11
2020-05-22,13
2020-05-23,11
2020-05-24,6
2020-05-25,12
2020-05-26,11
2020-05-27,14
2020-05-28,6
2020-05-29,11
2020-05-30,5
2020-05-31,7
2020-06-01,7
2020-06-02,17
2020-06-03,7
2020-06-04,9
2020-06-05,5
2020-06-06,5
2020-06-07,4
2020-06-08,5
2020-06-09,10
2020-06-10,2
2020-06-11,5
2020-06-12,3
2020-06-13,4
2020-06-14,2
2020-06-15,6
2020-06-16,11
2020-06-17,6
2020-06-18,16
2020-06-19,23
2020-06-20,29
2020-06-21,38
2020-06-22,46
2020-06-23,28
2020-06-24,59
2020-06-25,43
2020-06-26,21
2020-06-27,49
2020-06-28,17
2020-06-29,27
2020-06-30,36
2020-07-01,36
2020-07-02,21
2020-07-03,46
2020-07-04,31
2020-07-05,37
2020-07-06,77
2020-07-07,90
2020-07-08,76
2020-07-09,91
2020-07-10,129
2020-07-11,154
2020-07-12,130
2020-07-13,232
2020-07-14,291
2020-07-15,358
2020-07-16,298
2020-07-17,399
2020-07-18,334
2020-07-19,341
2020-07-20,430
2020-07-21,457
2020-07-22,466
2020-07-23,393
2020-07-24,449
2020-07-25,375
2020-07-26,385
2020-07-27,574
2020-07-28,515
2020-07-29,529
2020-07-30,492
2020-07-31,499
2020-08-01,830
2020-08-02,447
2020-08-03,460
2020-08-04,535
2020-08-05,430
2020-08-06,522
2020-08-07,551
2020-08-08,502
2020-08-09,297
2020-08-10,564
2020-08-11,380
2020-08-12,435
2020-08-13,410
2020-08-14,438
2020-08-15,378
2020-08-16,298
2020-08-17,342
2020-08-18,398
2020-08-19,341
2020-08-20,339
2020-08-21,279
2020-08-22,292
2020-08-23,196
2020-08-24,263
2020-08-25,292
2020-08-26,258
2020-08-27,224
2020-08-28,293
2020-08-29,263
2020-08-30,195
2020-08-31,323
2020-09-01,293
2020-09-02,270
2020-09-03,330
2020-09-04,315
2020-09-05,331
2020-09-06,255
2020-09-07,333
2020-09-08,374
2020-09-09,368
2020-09-10,342
2020-09-11,447
2020-09-12,380
2020-09-13,363
2020-09-14,359
2020-09-15,372
2020-09-16,355
2020-09-17,409
2020-09-18,351
2020-09-19,343
2020-09-20,242
2020-09-21,356
2020-09-22,310
2020-09-23,304
2020-09-24,359
2020-09-25,343
2020-09-26,300
2020-09-27,300
2020-09-28,326
2020-09-29,346
2020-09-30,310
2020-10-01,369
2020-10-02,403
2020-10-03,337
2020-10-04,331
2020-10-05,418
2020-10-06,486
2020-10-07,512
2020-10-08,487
2020-10-09,545
2020-10-10,528
2020-10-11,467
2020-10-12,461
2020-10-13,571
2020-10-14,724
2020-10-15,771
2020-10-16,858
2020-10-17,712
2020-10-18,713
2020-10-19,1045
2020-10-20,1095
2020-10-21,1103
2020-10-22,1047
2020-10-23,1083
2020-10-24,971
2020-10-25,963
2020-10-26,1102
2020-10-27,1025
2020-10-28,939
2020-10-29,935
2020-10-30,993
2020-10-31,873
2020-11-01,718
2020-11-02,828
2020-11-03,877
2020-11-04,837
2020-11-05,762
2020-11-06,797
2020-11-07,726
2020-11-08,457
2020-11-09,621
2020-11-10,570
2020-11-11,567
2020-11-12,512
2020-11-13,501
2020-11-14,352
2020-11-15,316
2020-11-16,389
2020-11-17,354
2020-11-18,444
2020-11-19,307
2020-11-20,329
2020-11-21,268
2020-11-22,176
2020-11-23,280
2020-11-24,284
2020-11-25,271
2020-11-26,315
2020-11-27,308
2020-11-28,297
2020-11-29,171
2020-11-30,168
2020-12-01,198
2020-12-02,173
2020-12-03,0
